start_at,end_at,clip_id,subject_id,trial_id,valence,arousal,dominance,liking,baseline_id
384,512,s20.dat_1,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
512,640,s20.dat_2,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
640,768,s20.dat_3,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
768,896,s20.dat_4,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
896,1024,s20.dat_5,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
1024,1152,s20.dat_6,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
1152,1280,s20.dat_7,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
1280,1408,s20.dat_8,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
1408,1536,s20.dat_9,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
1536,1664,s20.dat_10,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
1664,1792,s20.dat_11,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
1792,1920,s20.dat_12,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
1920,2048,s20.dat_13,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
2048,2176,s20.dat_14,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
2176,2304,s20.dat_15,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
2304,2432,s20.dat_16,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
2432,2560,s20.dat_17,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
2560,2688,s20.dat_18,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
2688,2816,s20.dat_19,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
2816,2944,s20.dat_20,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
2944,3072,s20.dat_21,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
3072,3200,s20.dat_22,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
3200,3328,s20.dat_23,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
3328,3456,s20.dat_24,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
3456,3584,s20.dat_25,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
3584,3712,s20.dat_26,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
3712,3840,s20.dat_27,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
3840,3968,s20.dat_28,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
3968,4096,s20.dat_29,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
4096,4224,s20.dat_30,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
4224,4352,s20.dat_31,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
4352,4480,s20.dat_32,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
4480,4608,s20.dat_33,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
4608,4736,s20.dat_34,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
4736,4864,s20.dat_35,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
4864,4992,s20.dat_36,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
4992,5120,s20.dat_37,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
5120,5248,s20.dat_38,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
5248,5376,s20.dat_39,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
5376,5504,s20.dat_40,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
5504,5632,s20.dat_41,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
5632,5760,s20.dat_42,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
5760,5888,s20.dat_43,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
5888,6016,s20.dat_44,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
6016,6144,s20.dat_45,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
6144,6272,s20.dat_46,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
6272,6400,s20.dat_47,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
6400,6528,s20.dat_48,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
6528,6656,s20.dat_49,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
6656,6784,s20.dat_50,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
6784,6912,s20.dat_51,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
6912,7040,s20.dat_52,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
7040,7168,s20.dat_53,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
7168,7296,s20.dat_54,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
7296,7424,s20.dat_55,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
7424,7552,s20.dat_56,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
7552,7680,s20.dat_57,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
7680,7808,s20.dat_58,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
7808,7936,s20.dat_59,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
7936,8064,s20.dat_60,s20.dat,0,5.76,4.78,3.78,5.31,s20.dat_0
384,512,s20.dat_62,s20.dat,1,6.77,5.04,3.1,6.81,s20.dat_61
512,640,s20.dat_63,s20.dat,1,6.77,5.04,3.1,6.81,s20.dat_61
640,768,s20.dat_64,s20.dat,1,6.77,5.04,3.1,6.81,s20.dat_61
768,896,s20.dat_65,s20.dat,1,6.77,5.04,3.1,6.81,s20.dat_61
896,1024,s20.dat_66,s20.dat,1,6.77,5.04,3.1,6.81,s20.dat_61
1024,1152,s20.dat_67,s20.dat,1,6.77,5.04,3.1,6.81,s20.dat_61
