Epoch,Training Loss,Training Accuracy
1,1.612984924547134,0.5294725956566702
2,0.9983110197128788,0.6483971044467425
3,0.9599467102558382,0.6421923474663909
4,0.9620490554840334,0.6535677352637022
5,0.9413590873441389,0.6701137538779731
6,0.9953092086699701,0.6540847983453981
7,0.9019434586648019,0.6628748707342296
8,0.888123627631895,0.6861427094105481
9,0.9326625427892131,0.6830403309203723
10,0.8603697496075784,0.688728024819028
11,0.8485690951347351,0.6995863495346433
12,0.9023322193853317,0.6902792140641159
13,0.8574554266468171,0.6835573940020683
14,0.7759894709433278,0.7156153050672182
15,0.8568358152143417,0.7156153050672182
16,0.8094785857585168,0.7068252326783868
17,0.7828973329836323,0.7238883143743536
18,0.7548348615246434,0.7264736297828335
19,0.7268336521041009,0.7326783867631851
20,0.7435280959452352,0.7290589451913133
21,0.6953008530601379,0.7352637021716649
22,0.7407575191990021,0.7471561530506722
23,0.7246356068118927,0.7295760082730093
24,0.6861815452575684,0.7409513960703206
25,0.7805613490843004,0.7306101344364012
26,0.7403550984398011,0.7435367114788004
27,0.701061031510753,0.7394002068252327
28,0.7329999689132937,0.7450879007238883
29,0.6772021084062515,0.7388831437435367
30,0.6620989557235472,0.7528438469493278
31,0.6940698248724784,0.749224405377456
32,0.6491207624635389,0.7481902792140641
33,0.6249394359127167,0.7626680455015512
34,0.6892339837166571,0.749741468459152
35,0.6358542067389334,0.7642192347466391
36,0.6081310433726157,0.7714581178903827
37,0.5858839447459867,0.7786970010341262
38,0.6063494999562541,0.7880041365046536
39,0.6334001854542763,0.7673216132368149
40,0.6294078019357496,0.7616339193381593
41,0.5853110984448464,0.7735263702171665
42,0.5879431011215333,0.7766287487073423
43,0.5845806416003935,0.7719751809720786
44,0.5741020739078522,0.7828335056876939
45,0.5809931312837908,0.7781799379524302
46,0.5621222786365017,0.781799379524302
47,0.5811579958085091,0.7833505687693899
48,0.5689116870203326,0.7859358841778697
49,0.564682335622849,0.7900723888314375
50,0.5849923020408999,0.781282316442606
51,0.5769552078939253,0.7611168562564633
52,0.5631932943098007,0.781799379524302
53,0.5555203874264995,0.7874870734229577
54,0.583018539413329,0.7905894519131335
55,0.5416218849920458,0.7890382626680456
56,0.5841256572354224,0.7766287487073423
57,0.5421455646714857,0.7843846949327818
58,0.5362021528905437,0.7973112719751809
59,0.5581527227355588,0.7911065149948294
60,0.5826305679736599,0.7885211995863496
61,0.527585695828161,0.795760082730093
62,0.5001384385170475,0.811271975180972
63,0.5122412260501615,0.796277145811789
64,0.5078651780082334,0.8014477766287487
65,0.4761425631661569,0.8102378490175801
66,0.5072153739390834,0.7993795243019648
67,0.4850784900688356,0.8092037228541882
68,0.4859122922343592,0.8138572905894519
69,0.4725829622437877,0.81282316442606
70,0.5085288516936763,0.8035160289555325
71,0.5045907824270187,0.7988624612202688
72,0.5162055165536942,0.795760082730093
73,0.507744396886518,0.8148914167528438
74,0.4886990545257445,0.8081695966907962
75,0.4664084719073388,0.8216132368148914
76,0.4755307210068549,0.8055842812823164
77,0.4856581832132032,0.7973112719751809
78,0.47049311091822965,0.81282316442606
79,0.5500241691066373,0.812306101344364
80,0.5276963547352822,0.7802481902792141
81,0.4649213937021071,0.8164426059979317
82,0.48057274520397186,0.8055842812823164
83,0.48372041410015476,0.8216132368148914
84,0.46865464987293365,0.8226473629782833
85,0.4555119276046753,0.8252326783867632
86,0.47049977894752254,0.8226473629782833
87,0.47716762269696883,0.8195449844881075
88,0.4768554760563758,0.8066184074457083
89,0.47577714920043945,0.8138572905894519
90,0.4464571427914404,0.8262668045501551
91,0.47479020683996137,0.8081695966907962
92,0.4847075766132724,0.8200620475698035
93,0.4506542687454531,0.8102378490175801
94,0.48364088035398917,0.8159255429162358
95,0.4706446047752134,0.8185108583247156
96,0.4542622681586973,0.8236814891416753
97,0.4749416805082752,0.8148914167528438
98,0.4588319255459693,0.8267838676318511
99,0.4537719045915911,0.8216132368148914
100,0.4229796701861966,0.8324715615305067
