start_at,end_at,clip_id,subject_id,trial_id,valence,arousal,dominance,liking,baseline_id
384,512,s02.dat_1,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
512,640,s02.dat_2,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
640,768,s02.dat_3,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
768,896,s02.dat_4,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
896,1024,s02.dat_5,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
1024,1152,s02.dat_6,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
1152,1280,s02.dat_7,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
1280,1408,s02.dat_8,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
1408,1536,s02.dat_9,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
1536,1664,s02.dat_10,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
1664,1792,s02.dat_11,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
1792,1920,s02.dat_12,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
1920,2048,s02.dat_13,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
2048,2176,s02.dat_14,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
2176,2304,s02.dat_15,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
2304,2432,s02.dat_16,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
2432,2560,s02.dat_17,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
2560,2688,s02.dat_18,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
2688,2816,s02.dat_19,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
2816,2944,s02.dat_20,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
2944,3072,s02.dat_21,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
3072,3200,s02.dat_22,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
3200,3328,s02.dat_23,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
3328,3456,s02.dat_24,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
3456,3584,s02.dat_25,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
3584,3712,s02.dat_26,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
3712,3840,s02.dat_27,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
3840,3968,s02.dat_28,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
3968,4096,s02.dat_29,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
4096,4224,s02.dat_30,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
4224,4352,s02.dat_31,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
4352,4480,s02.dat_32,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
4480,4608,s02.dat_33,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
4608,4736,s02.dat_34,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
4736,4864,s02.dat_35,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
4864,4992,s02.dat_36,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
4992,5120,s02.dat_37,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
5120,5248,s02.dat_38,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
5248,5376,s02.dat_39,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
5376,5504,s02.dat_40,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
5504,5632,s02.dat_41,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
5632,5760,s02.dat_42,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
5760,5888,s02.dat_43,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
5888,6016,s02.dat_44,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
6016,6144,s02.dat_45,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
6144,6272,s02.dat_46,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
6272,6400,s02.dat_47,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
6400,6528,s02.dat_48,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
6528,6656,s02.dat_49,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
6656,6784,s02.dat_50,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
6784,6912,s02.dat_51,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
6912,7040,s02.dat_52,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
7040,7168,s02.dat_53,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
7168,7296,s02.dat_54,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
7296,7424,s02.dat_55,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
7424,7552,s02.dat_56,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
7552,7680,s02.dat_57,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
7680,7808,s02.dat_58,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
7808,7936,s02.dat_59,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
7936,8064,s02.dat_60,s02.dat,0,9.0,5.03,7.13,6.62,s02.dat_0
384,512,s02.dat_62,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
512,640,s02.dat_63,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
640,768,s02.dat_64,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
768,896,s02.dat_65,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
896,1024,s02.dat_66,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
1024,1152,s02.dat_67,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
1152,1280,s02.dat_68,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
1280,1408,s02.dat_69,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
1408,1536,s02.dat_70,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
1536,1664,s02.dat_71,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
1664,1792,s02.dat_72,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
1792,1920,s02.dat_73,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
1920,2048,s02.dat_74,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
2048,2176,s02.dat_75,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
2176,2304,s02.dat_76,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
2304,2432,s02.dat_77,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
2432,2560,s02.dat_78,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
2560,2688,s02.dat_79,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
2688,2816,s02.dat_80,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
2816,2944,s02.dat_81,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
2944,3072,s02.dat_82,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
3072,3200,s02.dat_83,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
3200,3328,s02.dat_84,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
3328,3456,s02.dat_85,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
3456,3584,s02.dat_86,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
3584,3712,s02.dat_87,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
3712,3840,s02.dat_88,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
3840,3968,s02.dat_89,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
3968,4096,s02.dat_90,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
4096,4224,s02.dat_91,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
4224,4352,s02.dat_92,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
4352,4480,s02.dat_93,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
4480,4608,s02.dat_94,s02.dat,1,8.01,7.1,8.04,8.08,s02.dat_61
